#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 02 02 23 999 99.0 99.0  1.53  9.88  4.94  73 9999.0 999.0  18.6 999.0 99.0 99.00
2018 01 02 02 53 999 99.0 99.0  1.51  8.33  4.83  73 9999.0 999.0  18.6 999.0 99.0 99.00
2018 01 02 03 23 999 99.0 99.0  1.55 10.53  4.66  88 9999.0 999.0  18.3 999.0 99.0 99.00
2018 01 02 03 53 999 99.0 99.0  1.41  9.88  4.45  94 9999.0 999.0  18.2 999.0 99.0 99.00
2018 01 02 04 23 999 99.0 99.0  1.32  7.14  4.42  83 9999.0 999.0  18.1 999.0 99.0 99.00
2018 01 02 04 53 999 99.0 99.0  1.32  7.14  4.33  78 9999.0 999.0  18.3 999.0 99.0 99.00
2018 01 02 05 23 999 99.0 99.0  1.33  7.14  4.33  80 9999.0 999.0  18.5 999.0 99.0 99.00
2018 01 02 05 53 999 99.0 99.0  1.31  9.88  4.40  98 9999.0 999.0  18.5 999.0 99.0 99.00
2018 01 02 06 23 999 99.0 99.0  1.36 10.53  4.36  88 9999.0 999.0  18.3 999.0 99.0 99.00
2018 01 02 06 53 999 99.0 99.0  1.37  9.88  4.40  94 9999.0 999.0  18.2 999.0 99.0 99.00
2018 01 02 07 23 999 99.0 99.0  1.36  9.09  4.33  88 9999.0 999.0  18.1 999.0 99.0 99.00
2018 01 02 07 53 999 99.0 99.0  1.43 10.53  4.47  85 9999.0 999.0  18.0 999.0 99.0 99.00
2018 01 02 08 23 999 99.0 99.0  1.53  9.88  4.68  83 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 08 53 999 99.0 99.0  1.52 10.53  4.81  77 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 09 23 999 99.0 99.0  1.60 11.11  4.99  84 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 09 53 999 99.0 99.0  1.69  9.88  5.10  80 9999.0 999.0  18.0 999.0 99.0 99.00
2018 01 02 10 23 999 99.0 99.0  1.72 10.53  5.43  81 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 10 53 999 99.0 99.0  1.76 11.11  5.49  74 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 11 23 999 99.0 99.0  1.83  9.88  5.72  77 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 11 53 999 99.0 99.0  1.83  9.88  5.78  80 9999.0 999.0  17.7 999.0 99.0 99.00
2018 01 02 12 23 999 99.0 99.0  1.86  9.09  5.67  81 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 02 12 53 999 99.0 99.0  1.76  9.88  5.64  76 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 02 13 23 999 99.0 99.0  1.87  9.88  5.71  80 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 02 13 53 999 99.0 99.0  1.79 11.11  5.64  73 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 02 14 23 999 99.0 99.0  1.75  9.88  5.66  85 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 02 14 53 999 99.0 99.0  1.63  9.88  5.67  80 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 15 23 999 99.0 99.0  1.62  9.88  5.69  87 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 02 15 53 999 99.0 99.0  1.55  9.88  5.51  66 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 16 23 999 99.0 99.0  1.53  9.09  5.47  81 9999.0 999.0  18.6 999.0 99.0 99.00
2018 01 02 16 53 999 99.0 99.0  1.45  9.09  5.37  91 9999.0 999.0  17.9 999.0 99.0 99.00
2018 01 02 17 23 999 99.0 99.0  1.32  9.88  5.17  88 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 17 53 999 99.0 99.0  1.34 11.76  5.13  88 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 18 23 999 99.0 99.0  1.27  9.09  4.85  85 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 18 53 999 99.0 99.0  1.27 11.11  5.05  85 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 19 23 999 99.0 99.0  1.22 10.53  4.94  85 9999.0 999.0  17.8 999.0 99.0 99.00
2018 01 02 19 53 999 99.0 99.0  1.27 11.11  4.89  87 9999.0 999.0  17.7 999.0 99.0 99.00
2018 01 02 20 23 999 99.0 99.0  1.24 11.11  4.98  83 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 02 20 53 999 99.0 99.0  1.27  9.88  4.78  90 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 02 21 23 999 99.0 99.0  1.35  9.09  4.96  78 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 02 21 53 999 99.0 99.0  1.40 10.53  5.30  81 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 02 22 23 999 99.0 99.0  1.50  9.88  5.54  99 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 02 22 53 999 99.0 99.0  1.45  8.33  5.16  84 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 02 23 23 999 99.0 99.0  1.50  9.09  5.23  78 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 02 23 53 999 99.0 99.0  1.53 11.11  5.54  87 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 00 23 999 99.0 99.0  1.64 10.53  5.89  81 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 03 00 53 999 99.0 99.0  1.63  9.88  5.76  83 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 03 01 23 999 99.0 99.0  1.56 10.53  5.87  83 9999.0 999.0  17.6 999.0 99.0 99.00
2018 01 03 01 53 999 99.0 99.0  1.53 11.11  5.96  71 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 02 23 999 99.0 99.0  1.53 11.11  5.78  78 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 02 53 999 99.0 99.0  1.50  8.33  5.43  81 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 03 23 999 99.0 99.0  1.46 11.76  5.35  85 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 03 53 999 99.0 99.0  1.45 11.11  5.57  83 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 04 23 999 99.0 99.0  1.44 11.11  5.58  80 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 04 53 999 99.0 99.0  1.30  7.69  5.26  88 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 05 23 999 99.0 99.0  1.36  9.88  5.35  91 9999.0 999.0  17.5 999.0 99.0 99.00
2018 01 03 05 53 999 99.0 99.0  1.35 10.53  5.25  85 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 03 06 23 999 99.0 99.0  1.31  9.88  5.10  91 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 03 06 53 999 99.0 99.0  1.32  9.88  5.04  90 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 07 23 999 99.0 99.0  1.32  9.88  4.92  97 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 07 53 999 99.0 99.0  1.36  5.26  4.83 109 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 08 23 999 99.0 99.0  1.30  8.33  4.81  88 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 08 53 999 99.0 99.0  1.34  9.88  4.90  87 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 09 23 999 99.0 99.0  1.26  9.88  4.87  84 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 09 53 999 99.0 99.0  1.36  8.33  4.94  85 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 10 23 999 99.0 99.0  1.34  9.09  5.07  81 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 10 53 999 99.0 99.0  1.50  9.09  5.39  87 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 11 23 999 99.0 99.0  1.57  5.56  5.20  98 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 11 53 999 99.0 99.0  1.54  9.88  5.19  90 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 12 23 999 99.0 99.0  1.62  9.09  5.31  81 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 12 53 999 99.0 99.0  1.63  9.88  5.69  73 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 13 23 999 99.0 99.0  1.71  9.09  5.74  92 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 13 53 999 99.0 99.0  1.56  9.09  5.59  78 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 14 23 999 99.0 99.0  1.58  9.09  6.01  84 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 14 53 999 99.0 99.0  1.61  9.88  6.15  84 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 03 15 23 999 99.0 99.0  1.51  9.88  5.90  87 9999.0 999.0  17.4 999.0 99.0 99.00
